title,grade,ccode,division,description,filename
Coordinator III - K-12 Online Content Development,40,A473,Curriculum and Instruction,Licensed Administrator,CPD/A473.pdf
"Director II -  Vegas PBS Recruitment, SNPT Board, and Staff Resource Manager ",43,A801,Vegas PBS,Professional-Technical,VPBS/A801.pdf
School Associate Superintendent,48,B034,Teaching and Learning,Licensed Administrator,TLU/B034.pdf
Chief Operating Officer,50,A018,Operational Services Unit,Administrator,OS/A018.pdf
"Coordinator III - General Ledger	",40,A748,Business and Finance,Professional-Technical,BFD/A748.pdf
Coordinator III - Technology Integration Support,40,A897,Curriculum and Instruction,Licensed Administrator,IDPL/A897.pdf
Chief Academic Officer,49,A016,Academic Unit,Licensed Administrator,AU/A016.pdf
Coordinator IV - Title I Homeless Program - Community Liaison,41,A429,"Assessment, Accountability, Research, and School Improvement",Licensed Administrator,AARSI/A429.pdf
Coordinator III - Title I - Compliance Monitoring,40,A645,"Assessment, Accountability, Research, and School Improvement",Professional-Technical,AARSI/A645.pdf
Coordinator I - Affirmative Action/ADA Programs,38,A004,Chief of Staff,Professional-Technical,COS/A004.pdf
Deputy Chief Human Resources Officer,48,A513,Human Resources,Licensed Administrator,HR/A513.pdf
Chief Human Resources Officer,50,A600,Human Resources,Administrator,HR/A600.pdf
"Coordinator III, Student Information System",40,A751,Technology and Information Systems Services,Professional-Technical,TISS/A751.pdf
Coordinator III - Ready to Learn,40,A245,Vegas PBS,Professional-Technical,VPBS/A245.pdf
Director II - Substitute Services,43,A122,Human Resources,Professional-Technical and/or Licensed Administrator,HR/A122.pdf
Coordinator I - Athletics Accounting,38,A035,Curriculum and Instruction,Professional-Technical,CPD/A035.pdf
Coordinator III - Magnet Schools Assistance Program Project Coordinator,40,A034,Curriculum and Instruction,Licensed Administrator,CPD/A034.pdf
Coordinator III - Employee Performance Management,40,A084,Facilities Services,Professional-Technical,F/A084.pdf
Coordinator IV - Senior Internal Auditor,41,A498,Office of the Chief of Staff,Professional-Technical,OCS/A498.pdf
Director I - Marketing Department,42,B018,Communications Unit,Professional-Technical,CMS/B018.pdf
Director II - Special Projects & Inquiries/Investigations,43,A249,Office of the General Counsel,Professional-Technical,OGC/A249.pdf
Coordinator IV - Member Services,41,A875,Vegas PBS,Professional-Technical,VPBS/A875.pdf
Director II - Office of the Chief Operating Officer,43,A007,Operational Services Unit,Professional-Technical,OS/A007.pdf
Region Superintendent,49,B035,Teaching and Learning,Licensed Administrator,TLU/B035.pdf
Coordinator IV - Business Analyst,41,A536,Business and Finance,Professional-Technical,BFD/A536.pdf
Coordinator III - Government Relations,40,A219,Communications Unit,Professional-Technical,CMS/A219.pdf
Director IV – Compliance and Monitoring,45,A335,Student Services,Professional-Technical,SSSD/A335.pdf
"Coordinator IV - Health, Physical Education, and Driver Education",41,A895,Curriculum and Instruction,Licensed Administrator,CPD/A895.pdf
"Director II - Extended School Year, Alternative Instructional Arrangements, and Case Management",43,A168,Student Services,Licensed Administrator,SS/A168.pdf
Coordinator III -  Administrative Assistant,40,A085,Facilities Services,Professional-Technical,F/A085.pdf
Student Success Coordinator,40,A065,Teaching and Learning,Licensed Administrator,TLU/A065.pdf
Assistant General Counsel and Chief Negotiator,49,B040,Office of the Superintendent,Professional-Technical,ODS/B040.pdf
Chief Communications Officer,50,B045,Communications Unit,Administrator,CCR/B045.pdf
Coordinator IV - Facilities Asset Management,41,A096,Facilities Services,Professional-Technical,F/A096.pdf
"Coordinator III - Program Manager, Stay in School Mentoring Project",40,A635,Engagement,Professional-Technical,CE/A635.pdf
Coordinator IV - Time and Labor,41,A771,Business and Finance,Professional-Technical,BFD/A771.pdf
Coordinator III - Educational Technology Utilization and Project Management,40,A244,Vegas PBS,Professional-Technical,VPBS/A244.pdf
"Director IV - Sustainability, Energy, and Environmental Services",45,A075,Facilities Services,Professional-Technical,F/A075.pdf
Director II - Vegas PBS Major Gifts Development,43,A813,Vegas PBS,Professional-Technical,VPBS/A813.pdf
Director III - Community Engagement Services,44,B036,Engagement Unit ,Licensed Administrator,CSU/B036.pdf
Director II - Transportation - Compliance and Safety,43,A083,Operational Services Unit,Professional-Technical,OSU/A083.pdf
Director I - Middle School Athletics and Title IX Compliance,42,A543,"College, Career, Equity, and School Choice ",Licensed Administrator,CCESC/A543.pdf
Coordinator IV - Accounting Business Manager,41,A772,Business and Finance,Professional Technical,BFD/A772.pdf
Director II - Employee-Management Relations,43,A582,Human Resources,Professional-Technical and/or Licensed Administrator,HR/A582.pdf
Coordinator IV - Deaf and Hard of Hearing,41,B051,Student Services,Licensed Administrator,SSSD/B051.pdf
Coordinator IV - Administrative Services,41,B060,Human Resources,Professional-Technical,HR/B060.pdf
Coordinator IV - Emergency Management,41,A274,Police Service,Professional-Technical,PS/A274.pdf
Coordinator II - Indian Education Opportunities Program,39,B065,Office of the Chief of Staff,Professional-Technical,OCS/B065.pdf
Director I - School Improvement,42,B070,"Assessment, Accountability Research, and School Improvement",Licensed Administrator,AARSI/B070.pdf
Coordinator IV - Student Information System,41,B080,Technology and Information Systems Services,Professional-Technical,TISS/B080.pdf
Design Team Member - Aspiring School Administrators Pool and Aspiring School Principal Pool,0,B100,Operations Support Unit,Licensed Administrator,LPL/B100.pdf
Aspiring School Administrators Pool,0,B101,Leadership and Professional Learning ,Licensed Administrator,LPL/B101.pdf
Aspiring School Principal Pool,0,B102,Leadership and Professional Learning ,Licensed Administrator,LPL/B102.pdf
Director II - Online and Blended Learning,43,A170,Curriculum and Instruction,Licensed Administrator,CPD/A170.pdf
Coordinator III - Professional Growth System,40,B071,Human Resources,Professional-technical and/or Licensed Administrator,HR/B071.pdf
Assistant Principal and Principal Mentor,42,A105,Leadership and Professional Learning,Licensed Administrator,LPL/A105.pdf
Assistant Superintendent - Leadership and Professional Learning Division,47,A986,Academic Unit,Licensed Administrator,AU/A986.pdf
Coordinator IV - Region Administrative Assistant,41,A836,Teaching and Learning,Licensed Administrator,TLU/A836.pdf
Director II - Education Services,43,A012,"College, Career, Equity, and School Choice",Licensed Administrator,CCESC/A012.pdf
Coordinator IV - Senior Information Officer,41,A433,Communications Unit,Professional-Technical,CMS/A433.pdf
Coordinator IV - School Based Health and Provider Relations,41,A179,Student Services,Licensed Administrator,SSSD/A179.pdf
Director II - Auxiliary Instructional Services (AIS),43,A129,Student Services,Licensed Administrator,SS/A129.pdf
Director II - Office of Professional Learning (OPL),43,A130,Student Services,Licensed Administrator,SS/A130.pdf
Director I - Employee Health Director,42,A207,Student Services,Professional-Technical,SS/A207.pdf
Director III - Leadership: Principals and Executive - Level Administration ,44,A598,Leadership and Professional Learning,Licensed Administrator,LPL/A598.pdf
Director IV - Health Services and School Support,45,A942,Student Services,Licensed Administrator,SS/A942.pdf
Nevada Learning Academy Principal,41,A815,Education Services,Licensed Administrator,CCESC/A815.pdf
Coordinator IV - Computer Science,41,A047,Curriculum and Instruction,Licensed Administrator,CI/A047.pdf
Director III - Accounting,44,A025,Business and Finance,Professional-Technical,BFD/A025.pdf
Coordinator IV - Grant Fiscal Services,41,A770,Business and Finance,Professional-Technical,BFD/A770.pdf
"Coordinator III - Project Manager, TISS",40,A570,Technology and Information Systems Services,Professional-Technical,TISS/A570.pdf
Director III - Budget,44,A026,Business and Finance,Professional-Technical,BFD/A026.pdf
Director II - K-12 Literacy and Language Development,43,A641,Curriculum and Instruction,Licensed Administrator,CI/A641.pdf
Coordinator II - Safe Routes to School,39,A729,Office of the Chief of Staff,Professional-Technical,OCS/A729.pdf
Coordinator IV - Office of Professional Learning,41,A171,Student Services,Licensed Administrator,SS/A171.pdf
"Assistant Superintendent - Safe and Respectful Learning Environments and
Opportunities Division",47,A709,Academic Unit,Licensed Administrator,AU/A709.pdf
Director II - Financial Management - Vegas PBS,43,A835,Vegas PBS,Professional-Technical,VPBS/A835.pdf
Director II - Talent Recruitment and Teacher Pathways (TRTP),43,A963,Human Resources,Professional-Technical and/or Licensed Administrator,HR/A963.pdf
Coordinator I - Accounting-Payroll,38,A508,Business and Finance,Professional-Technical,BFD/A508.pdf
Coordinator III - Transportation Routing and Scheduling,40,A078,Operational Services Unit,Professional-Technical,OS/A078.pdf
Director III - Employee Management Relations (EMR),44,A583,Human Resources,Professional-Technical and/or Licensed Administrator,HR/A583.pdf
Chief Strategy Officer,48,A999,Office of the Superintendent,Administrator,SP/A999.pdf
Leadership Professional Learning Program Mentor for Aspiring School Administrators ,0,A100,Leadership and Professional Learning,Licensed Administrator,LPL/A100.pdf
Chief Information Officer ,50,A015,Technology and Information Systems Services,Professional-Technical,TISS/A015.pdf
Director III - Health Services,44,A205,Student Services,Licensed Administrator,SS/A205.pdf
Director II - Wraparound Services,43,A009,"College, Career, Equity, and School Choice ",Licensed Administrator,CCESC/A009.pdf
Coordinator II - Facility Condition Assessor ,39,A036,Facilities Services,Professional-Technical,F/A036.pdf
Coordinator II - Logistics and Inventory Management,39,A037,Facilities Services,Professional-Technical,F/A037.pdf
Coordinator IV - Facilities Manager,41,A038,Facilities Services,Professional-Technical,F/A038.pdf
Director IV - Comprehensive Planning,45,A039,Facilities Services,"Professional-Technical
",F/A039.pdf
Coordinator III - Farm/Nursery Manager,40,A033,Academic Unit,Professional-Technical,AU/A033.pdf
Coordinator III - Community Relations,40,A439,Engagement,Professional-Technical,CE/A439.pdf
Director II - Community Partnership Office,43,A060,Community Engagement Unit,Professional-Technical and/or Licensed Administrator,CE/A060.pdf
Director II - Engagement and Events,43,A057,Engagement,Professional-Technical and/or Licensed Administrator,CE/A057.pdf
Director III - Digital Marketing,44,A314,Vegas PBS,Professional-Technical,VPBS/A314.pdf
Coordinator III - Grant Fiscal Services,40,A017,Business and Finance,Professional-Technical,BFD/A017.pdf
Executive Manager/Director II - Office of the Superintendent,43,A003,Office of the Superintendent,Professional-Technical,SP/A003.pdf
Director II - Team Engagement,43,A061,Engagement,Professional-Technical and/or Licensed Administrator,CE/A061.pdf
Coordinator III - Team Engagement,40,A062,Engagement,Professional-Technical,CE/A062.pdf
Coordinator III - Public Education Foundation,40,A063,Engagement,Professional-Technical,CE/A063.pdf
Coordinator III - Family Engagement,40,A064,Engagement,Professional-Technical,CE/A064.pdf
"Director III - Purchasing, Warehousing, Mail Services, and Graphic Arts",44,A027,Operational Services Unit,Professional-Technical,OSU/A027.pdf
2025 Secondary Summer School Coordinators,0,A000,Alternative Services,"Licensed Administrator
",CCESC/A000.pdf
Principal - Technical Training Academies,43,A817,Teaching and Learning,Licensed Administrator,SP/A817.pdf
Director I - Student Information Systems (Archived Records),42,A752,Technology and Information Systems Services,Professional-Technical,TISS/A752.pdf
Director II - Leadership Development: Leader Pathway,43,A597,Leadership and Professional Learning Division,Licensed Administrator,LPL/A597.pdf
Director I - Secondary Student Athletic Eligibility,42,A541,Education Services,Licensed Administrator,CCESC/A541.pdf
Coordinator IV - Change of School Assignment,41,A046,Academic Unit,"Professional-Technical and/or Licensed Administrator
",AU/A046.pdf
Director II - Human Capital Management (HCM) Information Systems Services,43,A993,Technology and Information Systems Services,Professional-Technical,TISS/A993.pdf
Coordinator III - Enterprise Business Information Systems,40,A994,Technology and Information Systems Services,Professional-Technical,TISS/A994.pdf
Director I - User Support Services,42,A590,Technology and Information Systems Services,Professional-Technical,TISS/A590.pdf
Coordinator IV - New Teacher Development,41,A952,Leadership and Professional Learning,Licensed Administrator,LPL/A952.pdf
Coordinator IV - Instructional Applications Coordinator ,41,A636,Technology and Information System Services,Professional-Technical,TISS/A636.pdf
Director I - Government Relations,43,A730,Communications Unit,Professional-Technical,CGR/A730.pdf
Coordinator II - Public Information Specialist,39,A530,Communications Unit,Professional-Technical,CGR/A530.pdf
Coordinator III - Pupil Personnel Services,40,A579,Education Services,Licensed Administrator,ESD/A579.pdf
Director II - Multi-Tiered System of Supports,43,A103,Academic Unit,Licensed Administrator,AU/A103.pdf
"Director III - Media Relations Director, Media Relations Department",44,A430,Communications Unit,Professional-Technical,CGR/A430.pdf
Director II - Employee Compensation and Separation Compliance,43,A886,Human Resources,Professional-Technical,HR/A886.pdf
Coordinator I - Team Engagement,38,B062,Engagement,Professional-Technical,CE/B062.pdf
Coordinator III - Data Analyst,40,A231,English Language Learner,Professional-Technical,ELL/A231.pdf
Coordinator IV - Office of the Chief Information Officer,41,A567,Technology and Information System Services,Professional-Technical,TISS/A567.pdf
Coordinator IV - Vision Services,41,A387,Student Services,Licensed Administrator,SS/A387.pdf
Director IV/Executive Director - Curriculum and Instruction,45,A822,Curriculum and Instruction,Licensed Administrator,CI/A822.pdf
Director II - Grants Fiscal Services,43,A588,Business and Finance,Professional-Technical,BFD/A588.pdf
Coordinator III - Attendance Enforcement/Shared Housing,40,A448,Education Services,Professional-Technical and/or Licensed Administrator,ESD/A448.pdf
Coordinator IV - Mathematics,41,A444,Curriculum and Instruction,Licensed Administrator,CI/A444.pdf
Director I - Family Support Center,42,A235,English Language Learner ,Licensed Administrator,ELL/A235.pdf
Coordinator III - Secondary Literacy and Writing Development,40,A461,Curriculum and Instruction,Licensed Administrator,CI/A461.pdf
Coordinator IV - Crisis Response Team,41,A708,Student Services,Licensed Administrator,SS/A708.pdf
"Chief of Broadcast Operations, Vegas PBS",46,A637,Vegas PBS,Professional-Technical,VPBS/A637.pdf
Coordinator IV - Student Education Management Systems (SEMS) Medicaid Coordinator ,41,A465,Student Services,Licensed Administrator,SS/A465.pdf
Director I - Financial Reporting,42,A773,Business and Finance,Professional-Technical,BFD/A773.pdf
Coordinator IV - Web Design Services,41,A632,Communications Unit,Professional-Technical,CE/A632.pdf
"Director I - Program Development, Acquisitions, and Scheduling ",42,A312,Vegas PBS,Professional-Technical,VPBS/A312.pdf
Coordinator III - School Improvement,40,A462,"Assessment, Accountability, Research, and School Improvement",Professional-Technical,AARSI/A462.pdf
Director III - School Safety,44,A468,Operational Services,Professional-Technical,OS/A468.pdf
Leadership Coach,43,A639,Teaching and Learning,Licensed Administrator,TLU/A639.pdf
"Enterprise Technology Officer, Technology and Information Systems Services Division (TISS)",46,A638,Technology and Information Systems Services,Professional-Technical,TISS/A638.pdf
Coordinator III - Health Services - Automated External Defibrillators (AED) Program Coordinator,40,A232,Student Services,Licensed Administrator,SSSD/A232.pdf
Coordinator III - Payroll/Benefits Management Systems Developer,40,A721,Business and Finance,Professional-Technical,BFD/A721.pdf
Coordinator I - Internal Audit,38,A451,Office of the Chief of Staff,Professional-Technical,OCS/A451.pdf
Coordinator II - Facilities Bond Fund Financial Management  (FBFFM) - Project Development and Facilities Servi,39,A301,Business and Finance,Professional-Technical,BFD/A301.pdf
Coordinator II - Facilities Bond Fund Financial Management  (FBFFM) - Capital and Site-Funded Projects,39,A302,Business and Finance,Professional-Technical,BFD/A302.pdf
Deputy Chief Human Resources/Employee Management Relations (EMR) Officer ,47,A333,Human Resources,Licensed Administrator,HR/A333.pdf
Coordinator IV - Work-based Learning,41,A647,"College, Career, Equity, and School Choice",Professional-Technical and/or Licensed Administrator,CCESC/A647.pdf
Coordinator IV - Dual Language Immersion Programs,41,A976,Curriculum and Instruction Division,Licensed Administrator,CI/A976.pdf
Director II - Multilingual Education,43,A977,Curriculum and Instruction Division,Licensed Administrator,CI/A977.pdf
Director I - System Accreditation,42,A746,"Assessment, Accountability, Research, and School Improvement",Licensed Administrator,AARSI/A746.pdf
"Coordinator III - Administrative Compensation, Contracts, and Employee Records",40,A666,Human Resources ,Professional-Technical,HR/A666.pdf
Director III - Management Leadership Academy,44,A802,Human Resources ,Administrator and/or Professional-Technical,HR/A802.pdf
"Coordinator IV - Multi-Tiered System of Supports (MTSS), Pre-Kindergarten–Grade 12, Academic Unit",41,A151,Academic Unit,Licensed Administrator,AU/A151.pdf
Director II - Early Childhood Education,43,A482,Curriculum and Instruction,Licensed Administrator,CI/A482.pdf
Coordinator II - Corporate Support Account Executive,39,A957,Vegas PBS,Professional-Technical,VPBS/A957.pdf
"Assistant Human Resources Officer - EMR, PGS, and CBO",47,A304,Human Resources ,Professional-Technical,HR/A304.pdf
"Assistant Human Resources Officer - Admin Services, Recruitment, TAT, and Sub Services",47,A303,Human Resources ,Professional-Technical,HR/A303.pdf
Coordinator IV - Board Certified Behavior Analyst,41,A556,Student Services,Professional-Technical,SS/A556.pdf
Coordinator IV - Leadership Development,41,A410,Leadership and Professional Learning,Licensed Administrator,LPL/A410.pdf
Director I - Building Department,42,A435,Facilities Services,Professional-Technical,F/A435.pdf
Coordinator III - Vegas PBS Workforce Training and Economic Development Online Services/Sales,40,A954,Vegas PBS,Professional-Technical,VPBS/A954.pdf
Coordinator IV - Early Childhood Education,41,A509,Curriculum and Instruction,Licensed Administrator,CI/A509.pdf
Coordinator II - Accounting,39,A753,Business and Finance,Professional-Technical,BFD/A753.pdf
Director II - Grants Development and Administration,43,A745,Strategy Unit,Professional-Technical,SU/A745.pdf
Director III - Grants Development and Administration,44,A363,Strategy Unit,Professional-Technical,SU/A363.pdf
School Associate Superintendent - School Choice and Innovation,48,A774,"College, Career, Equity, and School Choice",Licensed Administrator,CCESC/A774.pdf
Assistant Superintendent - Facilities,47,A987,Facilities Services,Professional-Technical,F/A987.pdf
Assistant Superintendent - Construction,47,A988,Facilities Services,Professional-Technical,F/A988.pdf
Director II - Student Information Systems (SIS),43,A475,Technology and Information Systems Services,Professional-Technical,TISS/A475.pdf
Director I - Networking Services,42,A474,Technology and Information Systems Services,Professional-Technical,TISS/A474.pdf
Coordinator IV - Error Check System (ECS),41,A478,Technology and Information Systems Services,Professional-Technical,TISS/A478.pdf
"Coordinator IV - Science, Technology, Engineering, and Mathematics (STEM)",41,A454,Curriculum and Instruction,Licensed Administrator,CI/A454.pdf
Director I - Enterprise Project and Business Process Management,42,A452,Strategy Unit,Professional-Technical,SU/A452.pdf
Director I - Strategy and Organizational Improvement,42,A403,Strategy Unit,Professional-Technical,SU/A403.pdf
Enterprise Information Security Officer,47,A307,Technology and Information Systems Services,Professional-Technical,TISS/A307.pdf
Head Legal Counsel,49,A250,Office of the General Counsel,Professional-Technical,OGC/A250.pdf
Director II - Chronic Absenteeism and Shared Housing,43,A438,Education Services Division,Licensed Administrator,ESD/A438.pdf
Director I - Public Records,42,A441,Communications Unit,Professional-Technical,CMS/A441.pdf
"Coordinator III - Community Engagement, Fundraising and Development",40,A442,Engagement,Professional-Technical,CE/A442.pdf
Coordinator III - Engagement and Events,40,A457,Engagement,Professional-Technical,CE/A457.pdf
Coordinator IV - Senior Financial Analyst - Bond Administrator,41,A367,Business and Finance,Professional-Technical,BFD/A367.pdf
Director II - Student Education Management Systems (SEMS),43,A313,Student Services,Licensed Administrator,SS/A313.pdf
Coordinator IV - Early Childhood Family Engagement,41,A309,Student Services,Professional-Technical,SS/A309.pdf
Coordinator IV - Social Work - Student Services Division,41,A316,Student Services,Professional-Technical,SS/A316.pdf
Assistant Superintendent - Transportation,47,A323,Operational Services,Professional-Technical,OS/A323.pdf
Coordinator II - Vegas PBS Donor Stewardship,39,A496,Vegas PBS,Professional-Technical,VPBS/A496.pdf
Coordinator III - Teacher Leader Coach,40,A483,Leadership and Professional Learning,Professional-Technical,LPL/A483.pdf
"Assistant Human Resources Officer - Data Performance, Compensation and Classification",47,A320,Human Resources,Professional-Technical,HR/A320.pdf
Assistant Superintendent -Community Partnerships and Government Relations,47,A775,Communications Unit,Administrator,CGR/A775.pdf
 Assistant Superintendent - College and Career Readiness and School Choice,47,A776,Academic Unit,Licensed Administrator,CCESC/A776.pdf
Coordinator II - Accounts Payable,39,A497,Business and Finance,Professional-Technical,BFD/A497.pdf
Director I - Employee Engagement and Performance Management,42,A499,Facilities Services,Professional- Technical,F/A499.pdf
Director III - Community Engagement Officer,44,A298,Office of the Chief of Staff,Professional-Technical and/or Licensed Administrator,CGR/A298.pdf
"Coordinator II - Construction Project Accountant, FBFFM",39,A469,Business and Finance,Professional-Technical,BFD/A469.pdf
"Coordinator IV - Construction Project Accountant Manager, FBFFM",41,A471,Business and Finance,Professional-Technical,BFD/A471.pdf
Coordinator IV - System Accreditation,41,A484,"Assessment, Accountability, Research, and School Improvement",Licensed Administrator,AARSI/A484.pdf
Coordinator I - Unemployment Services Claims Manager,38,A325,Office of the General Counsel,Professional-Technical,OGC/A325.pdf
Director II - Applied Behavior Analysis Family and Student Support Services,43,A486,Student Services,Licensed Administrator,SS/A486.pdf
Director II - Language Development Instructional Pathways,43,A485,English Language Learner,Licensed Administrator,ELL/A485.pdf
Director I - Vegas PBS Strategic Planning and Organizational Advancement,42,A553,Vegas PBS,Professional-Technical,VPBS/A553.pdf
Coordinator III - Vegas PBS Compliance and Recruitment,40,A488,Vegas PBS,Professional-Technical,VPBS/A488.pdf
Director II - Integrated Content,43,A329,Vegas PBS,Professional-Technical,VPBS/A329.pdf
Director II - Career and Technical Education,43,A602,College and Career Readiness and School Choice,Licensed Administrator,CCESC/A602.pdf
Coordinator I – Vegas PBS Accounting,38,A616,Professional-Technical,Vegas PBS,VPBS/A616.pdf
Coordinator III - Newcomer Support and Education,40,A617,Community Partnerships and Government Relations,Licensed Administrator,CCESC/A617.pdf
Head Litigation Counsel,49,A251,Office of the General Counsel,Professional-Technical,OGC/A251.pdf
Coordinator IV - GASB Compliance and Implementation Specialist,41,A618,Business and Finance,Professional-Technical,BFD/A618.pdf
Coordinator III - Recruiter,40,A619,Human Resources,Professional-Technical,CCESC/A619.pdf
Coordinator IV - Department of Adult Education,41,A101,Alternative Services,"Licensed Administrator

",CCESC/A101.pdf
Director IV/Executive Director - Office of the Superintendent,45,A648,Office of the Superintendent,Licensed Administrator,SP/A648.pdf
Director III - Psychological Services,44,A467,Student Services,Licensed Administrator,SS/A467.pdf
Chief Community Engagement Officer,50,A831,Communications Unit,Professional-Technical,CE/A831.pdf
Director II - Fine and Performing Arts,43,A649,Curriculum and Instruction,Licensed Administrator,CI/A649.pdf
Associate Superintendent,NA,A754,Education Services Division,Licensed Administrator,ESD/A754.pdf
Chief of Teaching and Learning Initiatives,NA,A650,Teaching and Learning ,Licensed Administrator,TLU/A650.pdf
"Coordinator III - Classification Compensation, Human Resources",40,A651,Human Resources,Professional-Technical,HR/A651.pdf
Director I - Office of the Superintendent,42,A652,Office of the Superintendent,Professional-Technical,SP/A652.pdf
"Director III - Executive Director, Family and Community Engagement",44,A298,Engagement,Professional -Technical and/or Licensed Administrator,CE/A298.pdf
